line,station_id,minutes
U1,36961,0
U1,36901,3
U1,36902,6
U1,92900,9
U1,92901,12
U1,92902,15
U1,92903,18
U1,71900,21
U1,71901,24
U1,71902,27
U1,90950,30
U1,90900,33
U1,90901,36
U1,90902,39
U1,90903,42
U1,90904,45
U1,90905,48
U1,11900,51
U1,11901,54
U1,10906,57
U1,10903,60
U1,10902,63
U1,10901,66
U1,60904,69
U1,60951,72
U1,60902,75
U1,60901,78
U1,60900,81
U1,63902,84
U1,63901,87
U1,63900,90
U1,65900,93
U1,71905,96
U1,71904,99
U1,72902,102
U1,72901,105
U1,72900,108
U1,35904,114
U2,91900,0
U2,91901,3
U2,91902,6
U2,91903,9
U2,91904,12
U2,83900,15
U2,83901,18
U2,84901,21
U2,84902,24
U2,84903,27
U2,11909,30
U2,11910,33
U2,11950,36
U2,10905,39
U2,10952,42
U2,10908,45
U2,10909,48
U2,61901,51
U2,61902,54
U2,61903,57
U2,61904,60
U2,22902,63
U3,9709014,0
U3,70906,3
U3,70905,6
U3,90906,9
U3,90904,12
U3,90907,15
U3,90908,18
U3,84903,21
U3,84950,24
U3,11911,27
U3,80900,30
U3,80950,33
U3,11907,36
U3,11906,39
U3,11905,42
U3,11904,45
U3,10906,48
U3,10952,51
U3,10902,54
U3,10900,57
U3,70904,60
U3,70903,63
U3,70902,66
U3,9709014,69
U3,70900,72
U3,63902,75
U4,11943,0
U4,11942,3
U4,11941,6
U4,11950,9
U4,10905,12
U4,10952,15
U4,61902,18
U4,61903,21
U4,61904,24
S1,85950,0
S1,81950,6
S1,80955,12
S1,80954,15
S1,80953,18
S1,80952,21
S1,80951,24
S1,80950,27
S1,11952,30
S1,11950,33
S1,10905,36
S1,10952,39
S1,10953,42
S1,60950,45
S1,60951,48
S1,60952,51
S1,9709014,54
S1,70951,57
S1,70952,60
S1,90950,63
S1,71902,66
S1,71951,69
S1,71953,72
S2,80953,0
S2,84951,3
S2,84950,6
S2,11951,9
S2,10905,12
S2,10952,15
S2,10954,18
S2,61950,21
S2,21950,24
S2,21953,27
S2,21952,30
S2,25950,33
S2,25951,3
S3,99951,0
S3,99950,3
S3,98950,6
S3,83950,9
S3,82950,12
S3,84960,15
S3,84953,18
S3,84952,21
S3,80953,27
S3,80952,30
S3,80951,33
S3,80950,36
S3,11952,39
S3,11950,42
S3,10905,45
S3,10951,48
S3,11943,51
S3,54950,54
S3,54951,57
S3,49950,60
S3,40950,63
S3,42950,66
S3,41950,69
S3,41951,72
S5,82950,0
S5,84960,3
S5,84953,6
S5,84952,9
S5,84951,15
S5,84950,18
S5,11951,21
S5,10905,24
S5,10951,27
S5,11943,30
S5,54950,33
S5,54951,36
S5,49950,39
S5,40950,42
S5,42950,45
S5,41950,48
S5,41951,51
S5,8002556,54
S5,51988,57
S5,51989,60
S5,8004302,63
S5,8003002,66
S5,8001493,69
S5,8000434,72
S5,8000089,75
